PMID	DOI	Title	Year	PublicationTypes
2064270	NA	Effects on cochlear morphology of repeated insults to the stria vascularis.	1991	Journal Article
1681996	NA	Kainate and NMDA toxicity for cultured developing and adult rat spiral ganglion neurons: further evidence for a glutamatergic excitatory neurotransmission at the inner hair cell synapse.	1991	Journal Article
1762453	NA	Kainic acid lesions of the superior olivary complex: a horseradish peroxidase study of surviving brain-stem projections.	1991	Journal Article
1769915	NA	Hair cell regeneration in the chicken cochlea following aminoglycoside toxicity.	1991	Journal Article
1862765	NA	Dose-related alpha-difluoromethylornithine ototoxicity.	1991	Journal Article
1919647	NA	Cisplatin, ara-C and etoposide (PAE) in the treatment of recurrent childhood brain tumors.	1991	Clinical Trial
1938628	NA	Chronic intracochlear electrical stimulation induces selective survival of spiral ganglion neurons in neonatally deafened cats.	1991	Journal Article
1829919	NA	Phase II trial of cisplatin for adenocarcinoma of unknown primary site. IKZ/IKO Clinical Research Group.	1991	Journal Article
2064025	NA	Potentiation of cochlear hair cell loss by acoustic stimulus and gentamicin in the guinea pig.	1991	Journal Article
1758261	NA	Epidural tramadol for postoperative pain relief.	1991	Clinical Trial
1768368	NA	Phase I evaluation of coumarin (1,2-benzopyrone) and cimetidine in patients with advanced malignancies.	1991	Clinical Trial
1799911	NA	A comparative evaluation of two transdermal nitroglycerin delivery systems: Nitro-Dur versus Transderm-Nitro. The Collaborative Investigation Group.	1991	Clinical Trial
1925726	NA	Clomipramine for obsessive-compulsive disorder: prescribing guidelines.	1991	Journal Article
1928885	NA	Oral transmucosal fentanyl citrate for analgesia and sedation in the emergency department.	1991	Journal Article
1951896	NA	Concomitant cisplatin and hyperfractionated external beam irradiation for advanced malignancy of the head and neck.	1991	Journal Article
1913513	NA	Sufficient levels of quinine in the serum circumvent the multidrug resistance of the human leukemic cell line K562/ADM.	1991	Journal Article
1769908	NA	Electrical stimulation of the auditory nerve in deaf kittens: effects on cochlear nucleus morphology.	1991	Journal Article
1681756	NA	Effect of ototopic application of a corticosteroid preparation on cochlear function.	1991	Comparative Study
1856141	NA	Efficacy and safety of amikacin in systemic infections when given as a single daily dose or in two divided doses. Scandinavian Amikacin Once Daily Study Group.	1991	Clinical Trial
1856146	NA	Pharmacokinetic and toxicological evaluation of a once-daily regimen versus conventional schedules of netilmicin and amikacin.	1991	Clinical Trial
1856149	NA	Clinical and bacteriological efficacy, and practical aspects of amikacin given once daily for severe infections.	1991	Clinical Trial
1888154	NA	High dose intensity of cisplatin and etoposide in adenocarcinoma of unknown primary.	1991	Journal Article
1906861	NA	Clinical and pharmacokinetic study of a single daily dose of amikacin in paediatric patients with severe gram-negative infections.	1991	Clinical Trial
1906864	NA	Comparative kinetics and efficacy of amikacin administered once or twice daily in the treatment of systemic gram-negative infections.	1991	Clinical Trial
2068914	NA	Early ultrastructural effects of gentamicin cochleotoxicity.	1991	Journal Article
2069370	NA	Pharmacodynamic parameters and toxicity of netilmicin (6 milligrams/kilogram/day) given once daily or in three divided doses to cancer patients with urinary tract infection.	1991	Clinical Trial
