PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
2082	Albendazole	methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate	HXHWSAZORRCQMX-UHFFFAOYSA-N	33590990, 35692472, 33591979, 18955802, 16124432, 11127342, 2692189	7	7	0.0589523328280276	ototoxic
2083	Salbutamol	4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol	NDAUXUAQIAJITI-UHFFFAOYSA-N	19262284	-1	1	-0.0084217618325753	otoprotective
2092	Alfuzosin	N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide	WNMJYKCGWZFFKR-UHFFFAOYSA-N	7530121	1	1	0.0084217618325753	ototoxic
2116	Dl-alpha-tocopherol	2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydrochromen-6-ol	GVJHHUAWPYXKBD-UHFFFAOYSA-N	26942826, 27265333	-2	2	-0.0168435236651507	otoprotective
2118	Alprazolam	8-chloro-1-methyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine	VREFGVBLTWBCJP-UHFFFAOYSA-N	9872708	1	1	0.0084217618325753	ototoxic
2130	Amantadine	adamantan-1-amine	DKNWSYNQZKUICI-UHFFFAOYSA-N	41090493, 35645195, 30088203, 29564954, 29532440, 28604926, 25650051, 15128353, 12826197, 12611370, 7373087	9	11	0.0757958564931784	ototoxic
2140	Diatrizoic acid	3,5-diacetamido-2,4,6-triiodobenzoic acid	YVPYQUNUQOZFHG-UHFFFAOYSA-N	8073881	1	1	0.0084217618325753	ototoxic
2141	Amifostine	2-(3-aminopropylamino)ethylsulfanylphosphonic acid	JKOQGQFVAUAYPM-UHFFFAOYSA-N	41943511, 42087880, 40244573, 41745374, 40971093, 41908056, 40662234, 41329681, 40550170, 41965725, 40165641, 40978275, 42095027, 41285442, 41021622, 39174881, 39864316, 40486543, 39055368, 38916058, 37562496, 40296472, 38756707, 38806115, 37927646, 38135344, 38429405, 37924365, 37671832, 37698649, 38327988, 38008816, 39845015, 39140499, 37727177, 37342452, 37703864, 36832458, 35776668, 35599339, 35364938, 34876818, 34842331, 34269084, 35444606, 34552021, 36339968, 35185493, 33858610, 33749626, 34836866, 34172665, 34246234, 32569482, 33756453, 32290287, 32443117, 30762466, 31568777, 30946854, 31800655, 31387072, 31385962, 31866182, 31036992, 31063591, 31462337, 31441454, 31305044, 31160205, 30473983, 29430414, 29676584, 30273888, 29361217, 29593635, 30590218, 31131115, 30875620, 29404977, 30306534, 29471610, 28979071, 28978238, 28266200, 27669661, 27530119, 29187758, 28427410, 26581586, 26588629, 26198035, 24803303, 24984156, 24414535, 26304216, 25243609, 24556352, 25408936, 25020213, 25233334, 24292215, 24105630, 23321648, 23065688, 22592737, 23092832, 22717687, 22937859, 23540888, 23043552, 22584701, 22502976, 21796866, 21514545, 21425263, 20434163, 20667898, 20940621, 19916578, 18520322, 19018081, 18976866, 17710657, 17823555, 16465691, 16781082, 16877344, 16917983, 15949078, 17308839, 16020136, 15999362, 15944114, 14974858, 15390300, 15475801, 14967081, 14514973, 15185124, 15185124, 12841412, 15223259, 11745184, 11149742, 11349787, 11335791, 11471480, 10808697, 11096749, 10442192, 10348271, 10360638, 10588857, 10597214, 9638396, 9568606, 9806657, 9099346, 9256891, 8976821, 8668901, 8673349, 8783674, 8783672, 8683243, 8656260, 7775288, 8612469, 7577096, 7642445, 7561498, 7973776, 8261581, 8233496, 8404964, 1488607, 1421462, 1826720, 1655988, 2080997, 2177606, 6090371, 951390	-184	184	-1.54960417719387	otoprotective
2145	Aminoglutethimide	3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione	ROBVIMPUHSLWNV-UHFFFAOYSA-N	3660475, 2865833, 6180820, 7083209	4	4	0.0336870473303015	ototoxic
2146	Aminoguanidine	2-aminoguanidine	HAMNKKUPIHEESI-UHFFFAOYSA-N	16081592, 14644455, 15278326	-3	3	-0.0252652854977261	otoprotective
